Chile,CD Universidad de Concepción
Chile,Club Necaxa
Chile,Club de Deportes Cobresal
Chile,Colo-Colo
Chile,SD Ponferradina
Chile,San Luis de Quillota
Chile,Universidad Católica
Chile,Universidad de Chile
Chile,Unión Española
Chile,Unión La Calera
Chile,Ñublense
Colombia,Al Ahli
Colombia,América de Cali
Colombia,Atlético Bucaramanga
Colombia,Atlético Huila
Colombia,Atlético Nacional
Colombia,Boyacá Chicó FC
Colombia,Club Deportes Tolima
Colombia,Club Independiente Santa Fe
Colombia,Cortuluá
Colombia,Deportivo Cali
Colombia,Envigado FC
Colombia,Fortaleza CEIF
Colombia,Jaguares de Córdoba Fútbol Club
Colombia,Junior
Colombia,Junior FC
Colombia,La Equidad
Colombia,Millonarios FC
Colombia,Monarcas Morelia
Colombia,Once Caldas
Colombia,Orlando City Soccer Club
Colombia,Patriotas Boyacá FC
Colombia,Real Sporting de Gijón
Colombia,Real Valladolid CF
Colombia,Tigres FC
Congo,FC Nantes
Congo DR,Çaykur Rizespor
Costa Rica,IFK Göteborg
Costa Rica,Tromsø IL
Croatia,Balıkesirspor
Croatia,Benevento
Croatia,FC Rostov
Croatia,Górnik Łęczna
Croatia,Wisła Kraków
Curacao,ADO Den Haag
Czech Republic,AC Sparta Praha
Czech Republic,AZ Alkmaar
Czech Republic,Slavia Praha
Czech Republic,VfL Bochum 1848
Côte d'Ivoire,Akhisar Belediyespor
Denmark,AC Horsens
Denmark,Aalborg BK
Denmark,Esbjerg fB
Denmark,Horsens
Denmark,Lyngby BK
Denmark,Mjøndalen IF
Denmark,Odense Boldklub
Denmark,RB Leipzig
Denmark,Silkeborg IF
Denmark,SønderjyskE
Ecuador,C.D. Universidad Católica del Ecuador
Ecuador,CS Emelec
Ecuador,Guayaquil City FC
Ecuador,LDU Quito
England,AFC Bournemouth
England,AFC Wimbledon
England,Arsenal
England,Arsenal W
England,Barrow
England,Blackpool
England,Bolton Wanderers
England,Bradford City
England,Brighton & Hove Albion
England,Brighton & Hove Albion W
England,Burnley
England,Bury
England,Cambridge United
England,Charlton Athletic
England,Cheltenham Town
England,Coventry City
England,Crawley Town
England,Crewe Alexandra
England,Cruz Azul
England,Crystal Palace
England,Everton
England,Exeter City
England,Fleetwood Town
England,Forest Green Rovers
England,Gillingham
England,Grimsby Town
England,Hartlepool United
England,Huddersfield Town
England,Hull City
England,Ipswich Town
England,Leicester City W
England,Lincoln City
England,Liverpool W
England,Manchester United
England,Middlesbrough
England,Millwall
England,Milton Keynes Dons
England,Newport County
England,Northampton Town
England,Norwich City
England,Oldham Athletic
England,Peterborough United
England,Portsmouth
England,Rochdale
England,Scunthorpe United
England,Sheffield United
England,Southampton
England,Southend United
England,Sunderland
England,Sutton United
England,Swindon Town
England,Tranmere Rovers
England,West Bromwich Albion
England,West Ham United
England,West Ham W
England,Wycombe Wanderers
Equatorial Guinea,Las Palmas
Finland,HJK Helsinki
France,AC Ajaccio
France,AC Arles Avignon
France,AJ Auxerre
France,AS Nancy Lorraine
France,AS Saint-Étienne
France,Angers SCO
France,Brentford
France,Chamois Niortais Football Club
France,Clermont Foot 63
France,Dijon FCO
France,Dijon W
France,En Avant de Guingamp
France,FC Lorient
France,FC Metz
France,FC Mordovia Saransk
France,Fleury 91 W
France,Football Bourg En Bresse Peronnas 01
France,Grenoble Foot 38
France,Guingamp W
France,KV Kortrijk
France,KV Oostende
France,KVC Westerlo
France,Le Havre AC
France,Le Havre W
France,Lyon W
France,Montpellier Hérault SC
France,Montpellier W
France,Nîmes Olympique
France,OGC Nice
France,Olympique Marseille
France,Paris SG W
France,Paris W
France,Red Star FC
France,Rodez Aveyron Football
France,Royal Excel Mouscron
France,SC Bastia
France,Soyaux W
France,Stade Lavallois Mayenne FC
France,Stade Malherbe Caen
France,Stade de Reims
France,Stevenage
France,Toulouse Football Club
France,Tours FC
France,US Orléans Loiret Football
France,US Quevilly Rouen Métropole
France,USL Dunkerque
France,Valenciennes FC
France,Wolverhampton Wanderers
Georgia,FC Ufa
Georgia,KAA Gent
Georgia,Pogoń Szczecin
Germany,1. FC Heidenheim 1846
Germany,1. FC Köln
Germany,1. FC Nürnberg
Germany,1. FC Union Berlin
Germany,Borussia Mönchengladbach
Germany,DSC Arminia Bielefeld
Germany,Eintracht Braunschweig
Germany,Eintracht Frankfurt
Germany,FC Augsburg
Germany,FC Basel 1893
Germany,FC Bayern München
Germany,FC Carl Zeiss Jena
Germany,FC Erzgebirge Aue
Germany,FC Rot-Weiß Erfurt
Germany,FC Viktoria 1889 Berlin
Germany,FSV Zwickau
Germany,Gençlerbirliği SK
Germany,KFC Uerdingen 05
Germany,Karlsruher SC
Germany,SC Freiburg II
Germany,SC Paderborn 07
Germany,SG Dynamo Dresden
Germany,SSV Jahn Regensburg
Germany,SV Darmstadt 98
Germany,SV Wehen Wiesbaden
Germany,SV Werder Bremen
Germany,Saarbrücken
Germany,TSG Hoffenheim
Germany,VfB Lübeck
Germany,VfL Osnabrück
Germany,Viktoria Köln
Ghana,Carlisle United
Ghana,Hellas Verona
Ghana,Nordsjælland
Ghana,VfR Aalen
Greece,AEK Athens
Greece,Panathinaikos
Greece,Panathinaikos FC
Greece,Racing Club de Lens
Greece,Rapid București
Greece,Sion
Guinea,Gaziantepspor
Guinea,Watford
Hong Kong,Dalian Professional
Iceland,Lillestrøm SK
India,Chennaiyin
India,FC Goa
India,Mumbai City
India,Mumbai City FC
India,Odisha FC
Israel,Willem II
Italy,Atalanta
Italy,Avellino
Italy,Bari
Italy,Bologna
Italy,Brescia
Italy,Cagliari
Italy,Carpi
Italy,Como
Italy,Everton W
Italy,FC Pro Vercelli 1892
Italy,Foggia
Italy,Frosinone
Italy,Gaz Metan Mediaş
Italy,Inter
Italy,Juventus
Italy,Lecce
Italy,Südtirol
Italy,Ternana
Italy,U.S. Sassuolo Calcio
Italy,US Salernitana 1919
Italy,Udinese Calcio
Korea Republic,Busan IPark
Korea Republic,FC Seoul
Korea Republic,Jeonnam Dragons
Luxembourg,FC Köln
Madagascar,US Créteil-Lusitanos
Mexico,CF Monterrey
Mexico,Club América
Mexico,Club Deportivo Guadalajara
Mexico,Club Universidad Nacional
Mexico,Deportivo Toluca
Mexico,Gallos Blancos de Querétaro
Mexico,Jaguares de Chiapas
Mexico,Puebla FC
Mexico,Tigres U.A.N.L.
Morocco,Al Raed
Morocco,FC Utrecht
Morocco,VfL Sportfreunde Lotte
Netherlands,Ajax
Netherlands,Chelsea W
Netherlands,FC Emmen
Netherlands,FC Twente
Netherlands,Feyenoord
Netherlands,Heracles Almelo
Netherlands,Hertha BSC
Netherlands,NAC Breda
Netherlands,Olympiacos CFP
Netherlands,PSV
Netherlands,SC Cambuur
Netherlands,SC Heerenveen
Netherlands,VVV-Venlo
Netherlands,Vitesse
New Zealand,Stabæk Fotball
Nigeria,FC Lugano
Nigeria,Odds BK
Nigeria,Vizela
Nigeria,Värnamo
North Macedonia,Legia Warszawa
Northern Ireland,Derry City
Northern Ireland,Inverness Caledonian Thistle
Northern Ireland,Reading
Northern Ireland,St. Johnstone FC
Northern Ireland,St. Mirren
Norway,Aalesunds FK
Norway,FK Haugesund
Norway,IK Start
Norway,Molde FK
Norway,Norway W
Norway,Reading W
Norway,Sandefjord Fotball
Norway,Sarpsborg 08 FF
Norway,Strømsgodset IF
Norway,Viking FK
Norway,Vålerenga Fotball
Paraguay,Club Atlético de San Luis
Paraguay,Club Cerro Porteño
Paraguay,Club Deportivo Jorge Wilstermann
Paraguay,Club Nacional
Paraguay,Club River Plate Asunción
Paraguay,General Caballero JLM
Paraguay,Guaireña
Peru,Alianza Lima
Peru,Carlos A. Mannucci
Peru,Club Alianza Lima
Peru,Club Atlético Grau
Peru,Deportivo Binacional
Peru,Sport Huancayo
Poland,Arka Gdynia
Poland,GKS Bełchatów
Poland,Korona Kielce
Poland,Lech Poznań
Poland,Podbeskidzie Bielsko-Biała
Poland,Radomiak Radom
Poland,Raków Częstochowa
Poland,Sandecja Nowy Sącz
Poland,Zagłębie Lubin
Poland,ŁKS Łódź
Poland,Śląsk Wrocław
Portugal,Arouca
Portugal,Belenenses SAD
Portugal,CD Tondela
Portugal,FC Porto
Portugal,GD Chaves
Portugal,Portimonense SC
Portugal,Real Madrid CF
Portugal,Vitória de Guimarães
Republic of Ireland,Athlone Town
Republic of Ireland,Bray Wanderers
Republic of Ireland,Cork City
Republic of Ireland,Drogheda United
Republic of Ireland,Dundalk FC
Republic of Ireland,Finn Harps
Republic of Ireland,Galway United
Republic of Ireland,Limerick FC
Republic of Ireland,Longford Town
Republic of Ireland,Nottingham Forest
Republic of Ireland,Shamrock Rovers
Republic of Ireland,Shelbourne
Republic of Ireland,St. Patrick's Athletic
Romania,
Romania,CSM Politehnica Iași
Romania,Sepsi OSK Sf. Gheorghe
Romania,SpVgg Unterhaching
Russia,Arsenal Tula
Russia,FC Lokomotiv Moscow
Russia,FC Tosno
Russia,FC Ural Yekaterinburg
Russia,Krylya Sovetov Samara
Russia,Rubin Kazan
Saudi Arabia,Abha Club
Saudi Arabia,Al Adalah
Saudi Arabia,Al Batin
Saudi Arabia,Al Fateh
Saudi Arabia,Al Hilal
Saudi Arabia,Al Qadisiyah
Saudi Arabia,Al Shabab
Saudi Arabia,Al Shoulla
Saudi Arabia,Al Taawoun
Saudi Arabia,Ettifaq FC
Saudi Arabia,Hajer
Saudi Arabia,Najran SC
Scotland,Dundee FC
Scotland,Dundee United
Scotland,Heart of Midlothian
Scotland,Hibernian
Scotland,Livingston FC
Scotland,Motherwell
Scotland,Ross County FC
Scotland,Wigan Athletic
Senegal,FC Sochaux-Montbéliard
Senegal,Kristiansund BK
Serbia,F.C. København
Serbia,Meizhou Hakka
Serbia,RSC Anderlecht
Serbia,TSV Egger Glas Hartberg
Serbia,Waasland-Beveren
Slovakia,Bruk-Bet Termalica Nieciecza
Slovakia,Napoli
Slovakia,Walsall
Slovenia,FC Voluntari
Slovenia,Notts County
Slovenia,Wattens
South Africa,Varbergs BoIS FC
Spain,Athletic Club de Bilbao
Spain,Athletic Club de Bilbao B
Spain,CD Leganés
Spain,CD Lugo
Spain,CD Mirandés
Spain,CD Numancia
Spain,CD Tenerife
Spain,CF Fuenlabrada
Spain,Cádiz
Spain,Córdoba CF
Spain,Elche CF
Spain,FC Barcelona
Spain,FC Barcelona B
Spain,Girona
Spain,Granada CF
Spain,Jönköpings Södra IF
Spain,Levante Unión Deportiva
Spain,Málaga CF
Spain,Piast Gliwice
Spain,RCD Mallorca
Spain,Racing Santander
Spain,Real Betis Balompié
Spain,Real Sociedad
Spain,Real Zaragoza
Spain,Sevilla FC
Spain,Sochaux
Spain,Spain W
Spain,UD Ibiza
Spain,UD Logroñés
Spain,UE Llagostera
Spain,Unión Deportiva Almería
Sweden,AIK
Sweden,Djurgårdens IF
Sweden,Falkenbergs FF
Sweden,GIF Sundsvall
Sweden,Halmstads BK
Sweden,Hammarby IF
Sweden,Helsingborgs IF
Sweden,IF Brommapojkarna
Sweden,IF Elfsborg
Sweden,IFK Norrköping
Sweden,IK Sirius
Sweden,Kalmar FF
Sweden,Malmö FF
Sweden,Mjällby AIF
Sweden,Randers FC
Sweden,Rosenborg BK
Sweden,Sogndal Fotball
Sweden,Trelleborgs FF
Sweden,Örebro SK
Switzerland,Aston Villa W
Switzerland,BSC Young Boys
Switzerland,FC Aarau
Switzerland,FC Sion
Switzerland,FC St. Gallen 1879
Switzerland,FC Thun
Switzerland,FC Vaduz
Switzerland,Sporting Lokeren
Thailand,FC Tokyo
Thailand,Leicester City
Togo,Fortuna Düsseldorf
Tunisia,Damac FC
Turkey,Beşiktaş JK
Turkey,Demir Grup Sivasspor
Turkey,Fatih Karagümrük S.K.
Turkey,Fenerbahçe SK
Turkey,Fortuna Sittard
Turkey,Kasimpaşa SK
Turkey,Kayserispor
Turkey,Mersin İdman Yurdu
Turkey,SV Sandhausen
Turkey,Yeni Malatyaspor
Turkey,Yukatel Kayserispor
Turkey,İstanbul Başakşehir FK
Turkey,İttifak Holding Konyaspor
Uganda,Rio Ave FC
Ukraine,Shakhtar Donetsk
United States,Atlanta United
United States,Chicago Fire Football Club
United States,Colorado Rapids
United States,Columbus Crew
United States,D.C. United
United States,Houston Dynamo
United States,LA Galaxy
United States,MSV Duisburg
United States,New England Revolution
United States,New York City FC
United States,New York Red Bulls
United States,Philadelphia Union
United States,Real Salt Lake
United States,SJ Earthquakes
United States,San Jose Earthquakes
United States,Seattle Sounders FC
United States,Sporting Kansas City
United States,Tottenham Hotspur
Uruguay,Centro Atlético Fénix
Uruguay,Club Atlético Independiente
Uruguay,Club Atlético Rentistas
Uruguay,Defensa y Justicia
Uruguay,Deportivo Pasto
Uruguay,Deportivo Ñublense
Uruguay,Liverpool Fútbol Club
Uruguay,PAOK
Uruguay,San Martín de San Juan
Uruguay,Torino F.C.
Uzbekistan,Júbilo Iwata
Venezuela,Academia Puerto Cabello
Venezuela,Argentinos Juniors
Venezuela,Caracas
Venezuela,Club Tijuana
Venezuela,Deportivo Táchira FC
Venezuela,Empoli
Venezuela,Estudiantes Mérida
Venezuela,Llaneros de Guanare Escuela de Fútbol
Venezuela,Portland Timbers
Venezuela,União da Madeira
Venezuela,Zamora Fútbol Club
Wales,Barnsley
Wales,Oxford United
Wales,Plymouth Argyle
Wales,Swansea City
Wales,Tottenham W
Zimbabwe,Hobro IK
